time;knee_angle_l;% Gait Cycle
1.935;-21.58429994;56.16326531
1.936;-21.84595589;56.24489796
1.937;-22.11026923;56.32653061
1.938;-22.37723681;56.40816327
1.939;-22.64685257;56.48979592
1.94;-22.91911062;56.57142857
1.941;-23.19400513;56.65306122
1.942;-23.47152891;56.73469388
1.943;-23.75167198;56.81632653
1.944;-24.03442141;56.89795918
1.945;-24.31976435;56.97959184
1.946;-24.60768791;57.06122449
1.947;-24.89817775;57.14285714
1.948;-25.19121669;57.2244898
1.949;-25.48678457;57.30612245
1.95;-25.78486117;57.3877551
1.951;-26.08542619;57.46938776
1.952;-26.3884578;57.55102041
1.953;-26.69393134;57.63265306
1.954;-27.00181911;57.71428571
1.955;-27.31209338;57.79591837
1.956;-27.62472635;57.87755102
1.957;-27.93968875;57.95918367
1.958;-28.25694853;58.04081633
1.959;-28.57647067;58.12244898
1.96;-28.89822019;58.20408163
1.961;-29.22216207;58.28571429
1.962;-29.54825988;58.36734694
1.963;-29.87647448;58.44897959
1.964;-30.20676385;58.53061224
1.965;-30.53908605;58.6122449
1.966;-30.87339911;58.69387755
1.967;-31.2096597;58.7755102
1.968;-31.54782189;58.85714286
1.969;-31.88783695;58.93877551
1.97;-32.22965625;59.02040816
1.971;-32.57323127;59.10204082
1.972;-32.91851222;59.18367347
1.973;-33.26544681;59.26530612
1.974;-33.6139802;59.34693878
1.975;-33.96405774;59.42857143
1.976;-34.31562498;59.51020408
1.977;-34.66862634;59.59183673
1.978;-35.02300394;59.67346939
1.979;-35.37869748;59.75510204
1.98;-35.735647;59.83673469
1.981;-36.09379282;59.91836735
1.982;-36.45307426;60
1.983;-36.81342853;60.08163265
1.984;-37.17479062;60.16326531
1.985;-37.53709592;60.24489796
1.986;-37.90028025;60.32653061
1.987;-38.26427855;60.40816327
1.988;-38.6290239;60.48979592
1.989;-38.9944474;60.57142857
1.99;-39.36048072;60.65306122
1.991;-39.72705608;60.73469388
1.992;-40.094105;60.81632653
1.993;-40.46155741;60.89795918
1.994;-40.82934158;60.97959184
1.995;-41.19738649;61.06122449
1.996;-41.56562174;61.14285714
1.997;-41.93397645;61.2244898
1.998;-42.30237849;61.30612245
1.999;-42.67075442;61.3877551
0.774;-42.99418608;61.46938776
0.775;-43.34465398;61.55102041
0.776;-43.69455351;61.63265306
0.777;-44.0438194;61.71428571
0.778;-44.39238582;61.79591837
0.779;-44.74018642;61.87755102
0.78;-45.08715584;61.95918367
0.781;-45.4332297;62.04081633
0.782;-45.77834379;62.12244898
0.783;-46.12243365;62.20408163
0.784;-46.46543465;62.28571429
0.785;-46.80728318;62.36734694
0.786;-47.1479166;62.44897959
0.787;-47.48727265;62.53061224
0.788;-47.8252891;62.6122449
0.789;-48.16190384;62.69387755
0.79;-48.49705579;62.7755102
0.791;-48.83068485;62.85714286
0.792;-49.16273144;62.93877551
0.793;-49.49313628;63.02040816
0.794;-49.82184051;63.10204082
0.795;-50.14878633;63.18367347
0.796;-50.47391691;63.26530612
0.797;-50.79717613;63.34693878
0.798;-51.11850848;63.42857143
0.799;-51.43785908;63.51020408
0.8;-51.75517415;63.59183673
